               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.081487,            0.011704,           0.0091813,            0.033759,                0.25,            0.070439,             0.01551,            0.096809,           0.0070746,            0.010483,             0.00769,             0.00769,             0.00769
                  37,             0.07916,            0.012107,            0.010295,           0.0047439,                0.25,            0.015725,            0.010205,             0.10103,           0.0064514,             0.01054,            0.007624,            0.007624,            0.007624
                  38,            0.077885,            0.015307,            0.010962,            0.014333,                0.35,            0.020913,            0.012152,            0.093069,           0.0067889,            0.012888,            0.007558,            0.007558,            0.007558
                  39,            0.074542,            0.012405,              0.0106,           0.0063671,               0.475,            0.039139,             0.01123,            0.083053,           0.0070516,            0.014858,            0.007492,            0.007492,            0.007492
                  40,            0.080799,            0.012416,           0.0082142,           0.0063671,               0.475,            0.039139,             0.01123,            0.083053,           0.0070516,            0.014858,            0.007426,            0.007426,            0.007426
                  41,            0.074889,            0.012084,            0.010815,           0.0030989,                 0.7,            0.040873,           0.0044594,            0.076831,           0.0073248,            0.015411,             0.00736,             0.00736,             0.00736
                  42,            0.070293,            0.014657,           0.0079892,            0.072634,               0.125,            0.071273,           0.0081819,            0.090533,           0.0061977,            0.016201,            0.007294,            0.007294,            0.007294
                  43,            0.075357,            0.013371,            0.011937,           0.0067887,                0.25,            0.045302,            0.017239,            0.086727,           0.0061887,            0.022258,            0.007228,            0.007228,            0.007228
                  44,            0.083928,            0.010195,            0.011219,           0.0067887,                0.25,            0.045302,            0.017239,            0.086727,           0.0061887,            0.022258,            0.007162,            0.007162,            0.007162
                  45,            0.076739,            0.011635,           0.0085029,           0.0047427,                0.25,             0.04339,            0.025794,            0.087499,           0.0059612,            0.024343,            0.007096,            0.007096,            0.007096
                  46,            0.077478,            0.011701,           0.0080837,            0.097475,                0.25,             0.16037,              0.0723,             0.08022,           0.0063912,            0.021396,             0.00703,             0.00703,             0.00703
                  47,            0.075266,            0.010564,           0.0068317,             0.19618,             0.33272,             0.21233,            0.068287,             0.07725,           0.0064985,            0.020395,            0.006964,            0.006964,            0.006964
                  48,             0.07413,            0.011867,           0.0086625,             0.19618,             0.33272,             0.21233,            0.068287,             0.07725,           0.0064985,            0.020395,            0.006898,            0.006898,            0.006898
                  49,            0.074109,            0.011099,           0.0077347,             0.14341,               0.225,               0.197,            0.086877,            0.075542,           0.0065388,             0.01936,            0.006832,            0.006832,            0.006832
                  50,            0.072276,            0.012162,           0.0061608,            0.085981,               0.125,             0.15556,            0.066962,            0.076231,           0.0066123,            0.020476,            0.006766,            0.006766,            0.006766
                  51,            0.067564,            0.010239,           0.0081205,            0.073102,               0.125,             0.15007,            0.068647,            0.079413,            0.006379,            0.020791,              0.0067,              0.0067,              0.0067
